id,url,name,type,openingHours,description,duration,price,address,region,avgRating,numReviews,numReviews_5,numReviews_4,numReviews_3,numReviews_2,numReviews_1
590995,https://www.tripadvisor.com/Attraction_Review-g294265-d590995-Reviews-Seletar_Country_Club-Singapore.html,Seletar Country Club,Golf Courses,12:00 AM - 11:59 PM,"Designed by eminent course architect Chris Pitman, Seletar Country Club’s immaculately groomed 18-hole gem par 72 undulating at 6,381 metres goes well against the backdrop of the Lower Seletar Reservoir and verdant jungle canopy.",,,"101 Seletar Club Road Seletar Country Club, Singapore 798273 Singapore",Yishun,4.5,17,7,8,2,0,0
6412766,https://www.tripadvisor.com/Attraction_Review-g294265-d6412766-Reviews-The_Army_Market-Singapore.html,The Army Market,Speciality & Gift Shops,11:00 AM - 8:30 PM,,,,"505 Beach Road Golden Mile Food Centre Golden Mile Food Centre, 2nd Floor, Singapore 199583 Singapore",Crawford,4,12,2,7,2,1,0
22834159,https://www.tripadvisor.com/Attraction_Review-g294265-d22834159-Reviews-Geylang-Singapore.html,Geylang,Historic Walking Areas,,,,,"447 Geylang Road Geylang Post Office, Singapore 389406 Singapore",Red Light District,4.5,3,2,1,0,0,0
23235560,https://www.tripadvisor.com/Attraction_Review-g294265-d23235560-Reviews-Gallop_Extension-Singapore.html,Gallop Extension,"Parks, Hiking Trails, Gardens",,,,,"5 Gallop Road, Singapore 258960 Singapore",Tanglin,4.5,3,2,1,0,0,0
23138270,https://www.tripadvisor.com/Attraction_Review-g294265-d23138270-Reviews-Smith_Street-Singapore.html,Smith Street,Flea & Street Markets,,,,,,Outram,4.5,3,1,2,0,0,0
7275891,https://www.tripadvisor.com/Attraction_Review-g294265-d7275891-Reviews-Moshi_Moshi_Bollywood-Singapore.html,Moshi Moshi Bollywood,"Bars & Clubs, Dance Clubs & Discos, Theater & Performances",Closed until further notice,"We are temporarily closed. Moshi Moshi Bollywood - your party and chill out place Opening Hours : Mon - Thu: 9:00 pm - 4:30 am Fri - Sat and Eve of Public Holidays: 9:00 pm - 5:00 am We are closed on Sundays unless it is a Public Holiday One of the Most Happening Clubs in Singapore. Bollywood, Belly Dancing and Hip Hop performed nightly by International Dancers. We take Fusion to the Max!!",2-3 hours,,"5 Koek Road #26-27 Cuppage Plaza Somerset MRT Station and next to Centrepoint Shopping Centre, Singapore 228796 Singapore",Somerset,4,5,2,2,1,0,0
15360350,https://www.tripadvisor.com/Attraction_Review-g294265-d15360350-Reviews-Maxicabooking_SG-Singapore.html,Maxicabooking SG,Taxis & Shuttles,,"MaxiCABooking SG strives to provide dedicated transportation services with a large fleet of limo cab, maxi cab & mini bus ranging from 4 seaters limo to 44 seater coach and not forgetting our party buses! Each vehicle comes with plush seats, spacious interior & seating arrangements. With the largest fleet in town, we are able to provide Fast, Reliable & Affordable transportation in Singapore.",,,"Singapore, Singapore 730437 Singapore",Woodlands,4,2,1,0,1,0,0
17821111,https://www.tripadvisor.com/Attraction_Review-g294265-d17821111-Reviews-Low_Salt_Low_Sugar-Singapore.html,Low Salt Low Sugar,Cooking Classes,,"Discover the joys of Peranakan cooking in rich, bold flavours and learn about the local herbs and spices central to the cuisine. Take delight in preparing two authentic dishes from scratch: Assam Fishhead and Ayam Pongteh (chicken stew with fermented soybean). End the workshop with a homey lunch - a great opportunity to take mouthwatering photos and share experiences and stories. Take NOTE, this workshop will require at least 2 people to start.",,,"323D Sumang Walk Punggol Bayview, Singapore 824323 Singapore",Punggol Town Centre,3.5,3,2,0,0,0,1
17738872,https://www.tripadvisor.com/Attraction_Review-g294265-d17738872-Reviews-Zenith_Wholesale_Enterprise-Singapore.html,Zenith Wholesale Enterprise,,7:00 AM - 11:30 PM,"Our company has a fleet of vehicles to perform the below services :

Airport transfer
Charter service
Point to point transfer

Singapore - Malaysia Johor Bahru transfer and vice verse 

Legoland 
Hello Kitty Town 
Hotels/shopping complex around Johor Bahru",,,"50 Chin Swee Road Thong Chai Building, Singapore 169874 Singapore",Outram,2.5,6,1,1,0,1,3
26356283,https://www.tripadvisor.com/Attraction_Review-g294265-d26356283-Reviews-Singapore_airport-Singapore.html,Singapore airport,Gardens,,,,,,,,0,0,0,0,0,0
21353012,https://www.tripadvisor.com/Attraction_Review-g294265-d21353012-Reviews-J2_Terrarium-Singapore.html,J2 Terrarium,Paint & Pottery Studios,,"Terrariums are no stranger to the urban individual as they offer little pockets of nature to those living in the concrete jungle. J2 Terrarium offers custom made terrariums, ready made terrariums and even glass jars and vases for those looking for a nice home for their little gardens. Additionally, they offer workshops that cater to various age group, from young to old.",,25.59,"1 Yishun Industrial Street 1 #04-06 a'Posh Bizhub, Singapore 768160 Singapore",Yishun,,0,0,0,0,0,0
20318911,https://www.tripadvisor.com/Attraction_Review-g294265-d20318911-Reviews-D_Open_Kitchen-Singapore.html,D'Open Kitchen,Cooking Classes,,"We whip up creativity, fun and teamwork through an array of cooking classes in Singapore conducted by our team of professional chefs. From seasonal cuisine to local fare and artisan desserts; our cooking classes are specially designed to suit enthusiasts of all levels. Explore a wide selection of culinary experiences with us ranging from leisure cooking classes to cooking team building events in Singapore.",,,"10 Anson Road, Singapore 079903 Singapore",Central Business District,,0,0,0,0,0,0
